Place Key,City,State/Region,Country,Timezone,Geoname ID,Ekadashi Name,Ekadashi Type,Condition Code,Upavaasa Date 1,Upavaasa Date 2,Parana Date,Parana Start,Parana End,Parana Branch,Parana Tithi Rule,Hari Vasara End,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message
geoname:4180439,Atlanta,Georgia,United States,America/New_York,4180439,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:55 AM,09:38 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:55 AM to 09:38 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:55 AM to 09:38 AM"
geoname:4347778,Baltimore,Maryland,United States,America/New_York,4347778,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:48 AM,09:01 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:01 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:01 AM"
geoname:5108728,Belfast,New York,United States,America/New_York,5108728,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:48 AM,09:03 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:03 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:03 AM"
geoname:5110629,Buffalo,New York,United States,America/New_York,5110629,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:48 AM,09:05 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:05 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:05 AM"
geoname:4460243,Charlotte,North Carolina,United States,America/New_York,4460243,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:48 AM,09:23 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:23 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:23 AM"
geoname:4887398,Chicago,Illinois,United States,America/Chicago,4887398,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,05:53 AM,08:42 AM,PRATAH,DWADASHI,05:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 05:53 AM to 08:42 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 05:53 AM to 08:42 AM"
geoname:4508722,Cincinnati,Ohio,United States,America/New_York,4508722,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:48 AM,09:33 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:33 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:33 AM"
geoname:5150529,Cleveland,Ohio,United States,America/New_York,5150529,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:48 AM,09:19 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:19 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:19 AM"
geoname:4256038,Columbus,Indiana,United States,America/Indiana/Indianapolis,4256038,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:51 AM,09:38 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:51 AM to 09:38 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:51 AM to 09:38 AM"
geoname:4509177,Columbus,Ohio,United States,America/New_York,4509177,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-08,,2026-08-09,06:48 AM,09:26 AM,PRATAH,DWADASHI,06:48 AM,2026-08-08,COMPLETE,2026-08-08,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:26 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 08-Aug-26 | Parana: 09-Aug-26, 06:48 AM to 09:26 AM"
