Place Key,City,State/Region,Country,Timezone,Geoname ID,Ekadashi Name,Ekadashi Type,Condition Code,Upavaasa Date 1,Upavaasa Date 2,Parana Date,Parana Start,Parana End,Parana Branch,Parana Tithi Rule,Hari Vasara End,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message
geoname:2078025,Adelaide,South Australia,Australia,Australia/Adelaide,2078025,Shravana Putrada Ekadashi,Dashami Viddha -> Valid Ekadashi,DASHAMI_VIDDHA_THEN_VALID_EKADASHI,2026-08-24,,2026-08-25,06:44 AM,08:57 AM,PRATAH,DWADASHI,02:49 PM,2026-08-23,COMPLETE,2026-08-23,VIDDHA_NO_FAST,Shravana Putrada Ekadashi,"Upavaasa: 24-Aug-26 | Parana: 25-Aug-26, 06:44 AM to 08:57 AM",**Do not observe Upavaasa today.** Today's Ekadashi sunrise is Dashami Viddha because Ekadashi began during Arunodaya. Ekadashi continues to a valid sunrise on 24-Aug-26; observe Upavaasa on that date.,"Shravana Putrada Ekadashi. Do not observe Upavaasa today. Today's Ekadashi sunrise is Dashami Viddha because Ekadashi began during Arunodaya. Ekadashi continues to a valid sunrise on 24-Aug-26; observe Upavaasa on that date. Upavaasa: 24-Aug-26 | Parana: 25-Aug-26, 06:44 AM to 08:57 AM"
geoname:1279290,Agartala,Tripura,India,Asia/Kolkata,1279290,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,05:04 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 05:04 AM to 06:20 AM",A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. **Observe Upavaasa today and continue tomorrow.**,"Shravana Putrada Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. Observe Upavaasa today and continue tomorrow. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 05:04 AM to 06:20 AM"
geoname:1279186,Aizawl,Mizoram,India,Asia/Kolkata,1279186,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,04:58 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 04:58 AM to 06:20 AM",A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. **Observe Upavaasa today and continue tomorrow.**,"Shravana Putrada Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. Observe Upavaasa today and continue tomorrow. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 04:58 AM to 06:20 AM"
geoname:4180439,Atlanta,Georgia,United States,America/New_York,4180439,Shravana Putrada Ekadashi,Normal Ekadashi,NORMAL,2026-08-23,,2026-08-24,07:06 AM,09:43 AM,PRATAH,DWADASHI,01:19 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 | Parana: 24-Aug-26, 07:06 AM to 09:43 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Shravana Putrada Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 23-Aug-26 | Parana: 24-Aug-26, 07:06 AM to 09:43 AM"
geoname:1278094,Ayodhya,Uttar Pradesh,India,Asia/Kolkata,1278094,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,05:37 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 05:37 AM to 06:20 AM",A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. **Observe Upavaasa today and continue tomorrow.**,"Shravana Putrada Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. Observe Upavaasa today and continue tomorrow. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 05:37 AM to 06:20 AM"
geoname:4347778,Baltimore,Maryland,United States,America/New_York,4347778,Shravana Putrada Ekadashi,Normal Ekadashi,NORMAL,2026-08-23,,2026-08-24,06:28 AM,09:08 AM,PRATAH,DWADASHI,01:19 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 | Parana: 24-Aug-26, 06:28 AM to 09:08 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Shravana Putrada Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 23-Aug-26 | Parana: 24-Aug-26, 06:28 AM to 09:08 AM"
geoname:5108728,Belfast,New York,United States,America/New_York,5108728,Shravana Putrada Ekadashi,Normal Ekadashi,NORMAL,2026-08-23,,2026-08-24,06:29 AM,09:11 AM,PRATAH,DWADASHI,01:19 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 | Parana: 24-Aug-26, 06:29 AM to 09:11 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Shravana Putrada Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 23-Aug-26 | Parana: 24-Aug-26, 06:29 AM to 09:11 AM"
geoname:1276533,Belgaum,Karnataka,India,Asia/Kolkata,1276533,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,06:18 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:18 AM to 06:20 AM",A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. **Observe Upavaasa today and continue tomorrow.**,"Shravana Putrada Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. Observe Upavaasa today and continue tomorrow. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:18 AM to 06:20 AM"
geoname:1277333,Bengaluru,Karnataka,India,Asia/Kolkata,1277333,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,06:08 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:08 AM to 06:20 AM",A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. **Observe Upavaasa today and continue tomorrow.**,"Shravana Putrada Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. Observe Upavaasa today and continue tomorrow. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:08 AM to 06:20 AM"
geoname:1275841,Bhopal,Madhya Pradesh,India,Asia/Kolkata,1275841,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,06:00 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:00 AM to 06:20 AM",A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. **Observe Upavaasa today and continue tomorrow.**,"Shravana Putrada Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. Observe Upavaasa today and continue tomorrow. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:00 AM to 06:20 AM"
