Month,Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Scan Status,Festival Count,Registry Match Count,Registry Detail URL Count,Drik URL,Discovery Schema Version,Scan Error,Scanned At
2026-08,geoname:6182962,geoname:6182962|city:windsor,Windsor,Ontario,Canada,America/New_York,6182962,COMPLETE,27,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=6182962&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T15:58:04-04:00
2026-08,geoname:2643743,geoname:2643743|city:london,London,London,United Kingdom,Europe/London,2643743,COMPLETE,30,10,10,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2643743&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T15:58:20-04:00
2026-08,geoname:1276533,geoname:1276533|city:belgaum,Belgaum,Karnataka,India,Asia/Kolkata,1276533,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1276533&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T15:58:37-04:00
2026-08,geoname:1269920,geoname:1269920|city:hubli,Hubli,Karnataka,India,Asia/Kolkata,1269920,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269920&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T15:58:52-04:00
2026-08,geoname:6173331,geoname:6173331|city:vancouver,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,COMPLETE,28,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=6173331&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T15:59:07-04:00
2026-08,geoname:5108728,geoname:5108728|city:belfast,Belfast,New York,United States,America/New_York,5108728,COMPLETE,30,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=5108728&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T15:59:23-04:00
2026-08,geoname:1835848,geoname:1835848|city:seoul,Seoul,Seoul,South Korea,Asia/Seoul,1835848,COMPLETE,31,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1835848&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T15:59:39-04:00
2026-08,geoname:2193733,geoname:2193733|city:auckland,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,COMPLETE,31,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2193733&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T15:59:56-04:00
2026-08,geoname:2179537,geoname:2179537|city:wellington,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,COMPLETE,31,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2179537&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:00:13-04:00
2026-08,geoname:2192362,geoname:2192362|city:christchurch,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,COMPLETE,31,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2192362&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:00:30-04:00
2026-08,geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,COMPLETE,31,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1279290&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:00:49-04:00
2026-08,geoname:1271476,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,COMPLETE,32,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1271476&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:01:05-04:00
2026-08,geoname:1256525,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,COMPLETE,29,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1256525&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:01:22-04:00
2026-08,geoname:1279186,geoname:1279186|city:aizawl,Aizawl,Mizoram,India,Asia/Kolkata,1279186,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1279186&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:01:38-04:00
2026-08,geoname:1271631,geoname:1271631|city:gangtok,Gangtok,Sikkim,India,Asia/Kolkata,1271631,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1271631&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:01:55-04:00
