Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:6182962,geoname:6182962|city:windsor,Windsor,Ontario,Canada,America/New_York,6182962,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_VISIBLE,2026-08-27,COMPLETE,2026-08-27,OBSERVANCE,Chandra Grahan *Anshika,"Sutak Begins - 10:13 AM | Sutak Ends - 01:51 AM, Aug 28 | Eclipse Start - 10:34 PM | Eclipse End - 01:51 AM, Aug 28",,"Chandra Grahan *Anshika. Sutak Begins - 10:13 AM | Sutak Ends - 01:51 AM, Aug 28 | Eclipse Start - 10:34 PM | Eclipse End - 01:51 AM, Aug 28",grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2643743,geoname:2643743|city:london,London,London,United Kingdom,Europe/London,2643743,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_VISIBLE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Chandra Grahan *Anshika,"Sutak Begins - 04:30 PM, Aug 27 | Sutak Ends - 06:10 AM | Eclipse Start - 03:34 AM | Eclipse End - 06:10 AM",,"Chandra Grahan *Anshika. Sutak Begins - 04:30 PM, Aug 27 | Sutak Ends - 06:10 AM | Eclipse Start - 03:34 AM | Eclipse End - 06:10 AM",grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1276533,geoname:1276533|city:belgaum,Belgaum,Karnataka,India,Asia/Kolkata,1276533,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1269920,geoname:1269920|city:hubli,Hubli,Karnataka,India,Asia/Kolkata,1269920,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:6173331,geoname:6173331|city:vancouver,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_VISIBLE,2026-08-27,COMPLETE,2026-08-27,OBSERVANCE,Chandra Grahan *Anshika,Sutak Begins - 06:22 AM | Sutak Ends - 10:51 PM | Eclipse Start - 08:02 PM | Eclipse End - 10:51 PM,,Chandra Grahan *Anshika. Sutak Begins - 06:22 AM | Sutak Ends - 10:51 PM | Eclipse Start - 08:02 PM | Eclipse End - 10:51 PM,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:5108728,geoname:5108728|city:belfast,Belfast,New York,United States,America/New_York,5108728,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_VISIBLE,2026-08-27,COMPLETE,2026-08-27,OBSERVANCE,Chandra Grahan *Anshika,"Sutak Begins - 01:13 PM | Sutak Ends - 01:51 AM, Aug 28 | Eclipse Start - 10:34 PM | Eclipse End - 01:51 AM, Aug 28",,"Chandra Grahan *Anshika. Sutak Begins - 01:13 PM | Sutak Ends - 01:51 AM, Aug 28 | Eclipse Start - 10:34 PM | Eclipse End - 01:51 AM, Aug 28",grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1835848,geoname:1835848|city:seoul,Seoul,Seoul,South Korea,Asia/Seoul,1835848,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2193733,geoname:2193733|city:auckland,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2179537,geoname:2179537|city:wellington,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2192362,geoname:2192362|city:christchurch,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
