Month,Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Displayed Date,Displayed Day,Displayed Weekday,Observed Festival,Normalized Festival,Matched Pattern,Canonical Festival,Engine,Discovery Enabled,Execution Enabled,Display Priority,Registry Notes,Drik URL,Event Detail URL,Event Link Status,Discovery Schema Version,Selection Basis,Discovery Event Detail URL,Completeness Status
2026-08,geoname:6182962,geoname:6182962|city:windsor,Windsor,Ontario,Canada,America/New_York,6182962,2026-08-17,17,Monday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=6182962&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:2643743,geoname:2643743|city:london,London,London,United Kingdom,Europe/London,2643743,2026-08-17,17,Monday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2643743&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1276533,geoname:1276533|city:belgaum,Belgaum,Karnataka,India,Asia/Kolkata,1276533,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1276533&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1269920,geoname:1269920|city:hubli,Hubli,Karnataka,India,Asia/Kolkata,1269920,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269920&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:6173331,geoname:6173331|city:vancouver,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,2026-08-17,17,Monday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=6173331&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:5108728,geoname:5108728|city:belfast,Belfast,New York,United States,America/New_York,5108728,2026-08-17,17,Monday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=5108728&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1835848,geoname:1835848|city:seoul,Seoul,Seoul,South Korea,Asia/Seoul,1835848,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1835848&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:2193733,geoname:2193733|city:auckland,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2193733&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:2179537,geoname:2179537|city:wellington,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2179537&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:2192362,geoname:2192362|city:christchurch,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2192362&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1279290&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1271476,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1271476&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1256525,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1256525&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1279186,geoname:1279186|city:aizawl,Aizawl,Mizoram,India,Asia/Kolkata,1279186,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1279186&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
