Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:6182962,geoname:6182962|city:windsor,Windsor,Ontario,Canada,America/New_York,6182962,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-16,COMPLETE,2026-08-16,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:36 PM to 08:31 PM | Simha Sankranti Maha Punya Kala - 06:13 PM to 08:31 PM,,Simha Sankranti. Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:36 PM to 08:31 PM | Simha Sankranti Maha Punya Kala - 06:13 PM to 08:31 PM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2643743,geoname:2643743|city:london,London,London,United Kingdom,Europe/London,2643743,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-17,COMPLETE,2026-08-17,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 03:34 AM | Simha Sankranti Punya Kala - 05:49 AM to 01:04 PM | Simha Sankranti Maha Punya Kala - 05:49 AM to 08:14 AM,,Simha Sankranti. Simha Sankranti Moment - 03:34 AM | Simha Sankranti Punya Kala - 05:49 AM to 01:04 PM | Simha Sankranti Maha Punya Kala - 05:49 AM to 08:14 AM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1276533,geoname:1276533|city:belgaum,Belgaum,Karnataka,India,Asia/Kolkata,1276533,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-17,COMPLETE,2026-08-17,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,,Simha Sankranti. Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1269920,geoname:1269920|city:hubli,Hubli,Karnataka,India,Asia/Kolkata,1269920,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-17,COMPLETE,2026-08-17,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:15 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:15 AM to 08:04 AM,,Simha Sankranti. Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:15 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:15 AM to 08:04 AM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:6173331,geoname:6173331|city:vancouver,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-16,COMPLETE,2026-08-16,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 07:34 PM | Simha Sankranti Punya Kala - 11:55 AM to 07:34 PM | Simha Sankranti Maha Punya Kala - 05:10 PM to 07:34 PM,,Simha Sankranti. Simha Sankranti Moment - 07:34 PM | Simha Sankranti Punya Kala - 11:55 AM to 07:34 PM | Simha Sankranti Maha Punya Kala - 05:10 PM to 07:34 PM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:5108728,geoname:5108728|city:belfast,Belfast,New York,United States,America/New_York,5108728,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-16,COMPLETE,2026-08-16,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:16 PM to 08:11 PM | Simha Sankranti Maha Punya Kala - 05:53 PM to 08:11 PM,,Simha Sankranti. Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:16 PM to 08:11 PM | Simha Sankranti Maha Punya Kala - 05:53 PM to 08:11 PM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1835848,geoname:1835848|city:seoul,Seoul,Seoul,South Korea,Asia/Seoul,1835848,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-17,COMPLETE,2026-08-17,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 11:34 AM | Simha Sankranti Punya Kala - 05:49 AM to 11:34 AM | Simha Sankranti Maha Punya Kala - 09:18 AM to 11:34 AM,,Simha Sankranti. Simha Sankranti Moment - 11:34 AM | Simha Sankranti Punya Kala - 05:49 AM to 11:34 AM | Simha Sankranti Maha Punya Kala - 09:18 AM to 11:34 AM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2193733,geoname:2193733|city:auckland,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-17,COMPLETE,2026-08-17,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 08:49 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:46 PM to 02:34 PM,,Simha Sankranti. Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 08:49 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:46 PM to 02:34 PM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2179537,geoname:2179537|city:wellington,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-17,COMPLETE,2026-08-17,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 08:57 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:48 PM to 02:34 PM,,Simha Sankranti. Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 08:57 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:48 PM to 02:34 PM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2192362,geoname:2192362|city:christchurch,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-17,COMPLETE,2026-08-17,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 09:01 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:50 PM to 02:34 PM,,Simha Sankranti. Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 09:01 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:50 PM to 02:34 PM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,SANKRAMANA,Simha Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-08-17,COMPLETE,2026-08-17,OBSERVANCE,Simha Sankranti,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:01 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,,Simha Sankranti. Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:01 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,sankramana_engine.py,SANKRAMANA_V2_1_CITY_CONTEXT_THEN_DISCOVERY_URL
