Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:6182962,geoname:6182962|city:windsor,Windsor,Ontario,Canada,America/New_York,6182962,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-21,COMPLETE,2026-08-21,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:2643743,geoname:2643743|city:london,London,London,United Kingdom,Europe/London,2643743,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-21,COMPLETE,2026-08-21,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1276533,geoname:1276533|city:belgaum,Belgaum,Karnataka,India,Asia/Kolkata,1276533,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1269920,geoname:1269920|city:hubli,Hubli,Karnataka,India,Asia/Kolkata,1269920,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:6173331,geoname:6173331|city:vancouver,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-21,COMPLETE,2026-08-21,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:5108728,geoname:5108728|city:belfast,Belfast,New York,United States,America/New_York,5108728,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-21,COMPLETE,2026-08-21,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1835848,geoname:1835848|city:seoul,Seoul,Seoul,South Korea,Asia/Seoul,1835848,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:2193733,geoname:2193733|city:auckland,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:2179537,geoname:2179537|city:wellington,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:2192362,geoname:2192362|city:christchurch,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1271476,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1256525,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1279186,geoname:1279186|city:aizawl,Aizawl,Mizoram,India,Asia/Kolkata,1279186,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1271631,geoname:1271631|city:gangtok,Gangtok,Sikkim,India,Asia/Kolkata,1271631,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1256287,geoname:1256287|city:silchar,Silchar,Assam,India,Asia/Kolkata,1256287,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1272648,geoname:1272648|city:dibrugarh,Dibrugarh,Assam,India,Asia/Kolkata,1272648,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1269771,geoname:1269771|city:imphal,Imphal,Manipur,India,Asia/Kolkata,1269771,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1272552,geoname:1272552|city:dimapur,Dimapur,Nagaland,India,Asia/Kolkata,1272552,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1269655,geoname:1269655|city:itanagar,Itanagar,Arunachal Pradesh,India,Asia/Kolkata,1269655,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1264521,geoname:1264521|city:madurai,Madurai,Tamil Nadu,India,Asia/Kolkata,1264521,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1265683,geoname:1265683|city:kumbakonam,Kumbakonam,Tamil Nadu,India,Asia/Kolkata,1265683,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1274256,geoname:1274256|city:chidambaram,Chidambaram,Tamil Nadu,India,Asia/Kolkata,1274256,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1268159,geoname:1268159|city:kanchipuram,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,1268159,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1254388,geoname:1254388|city:srirangam,Srirangam,Tamil Nadu,India,Asia/Kolkata,1254388,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1270603,geoname:1270603|city:guruvayur,Guruvayur,Kerala,India,Asia/Kolkata,1270603,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1260546,geoname:1260546|city:pandharpur,Pandharpur,Maharashtra,India,Asia/Kolkata,1260546,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
geoname:1266285,geoname:1266285|city:kolhapur,Kolhapur,Maharashtra,India,Asia/Kolkata,1266285,VARAMAHALAKSHMI,Varamahalakshmi Vrata,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Varamahalakshmi Vrata,,,Varamahalakshmi Vrata is observed today.,standard_festival_engine.py,VARAMAHALAKSHMI_V2_0_DISCOVERY_EVIDENCE
