Place Key,City,State/Region,Country,Timezone,Geoname ID,Ekadashi Name,Ekadashi Type,Condition Code,Upavaasa Date 1,Upavaasa Date 2,Parana Date,Parana Start,Parana End,Parana Branch,Parana Tithi Rule,Hari Vasara End,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message
geoname:2078025,Adelaide,South Australia,Australia,Australia/Adelaide,2078025,Parsva Ekadashi,Shravanopavasa,SHRAVANOPAVASA,2026-09-22,2026-09-23,2026-09-24,06:03 AM,08:29 AM,POST_DWADASHI_FAST_DWADASHI_OVER_BEFORE_SUNRISE,POST_DWADASHI_UPAVASA,08:00 AM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:03 AM to 08:29 AM",A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. **Observe Upavaasa today and continue tomorrow.**,"Parsva Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. Observe Upavaasa today and continue tomorrow. Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:03 AM to 08:29 AM"
geoname:1279290,Agartala,Tripura,India,Asia/Kolkata,1279290,Parsva Ekadashi,Shravanopavasa,SHRAVANOPAVASA,2026-09-22,2026-09-23,2026-09-24,05:14 AM,07:39 AM,POST_DWADASHI_FAST_DWADASHI_OVER_BEFORE_SUNRISE,POST_DWADASHI_UPAVASA,04:00 AM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 05:14 AM to 07:39 AM",A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. **Observe Upavaasa today and continue tomorrow.**,"Parsva Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. Observe Upavaasa today and continue tomorrow. Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 05:14 AM to 07:39 AM"
geoname:1279186,Aizawl,Mizoram,India,Asia/Kolkata,1279186,Parsva Ekadashi,Shravanopavasa,SHRAVANOPAVASA,2026-09-22,2026-09-23,2026-09-24,05:08 AM,07:33 AM,POST_DWADASHI_FAST_DWADASHI_OVER_BEFORE_SUNRISE,POST_DWADASHI_UPAVASA,04:00 AM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 05:08 AM to 07:33 AM",A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. **Observe Upavaasa today and continue tomorrow.**,"Parsva Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. Observe Upavaasa today and continue tomorrow. Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 05:08 AM to 07:33 AM"
geoname:4180439,Atlanta,Georgia,United States,America/New_York,4180439,Parsva Ekadashi,Normal Ekadashi,NORMAL,2026-09-22,,2026-09-23,07:27 AM,09:52 AM,PRATAH,DWADASHI,06:30 PM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 | Parana: 23-Sep-26, 07:27 AM to 09:52 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya.,"Parsva Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya. Upavaasa: 22-Sep-26 | Parana: 23-Sep-26, 07:27 AM to 09:52 AM"
geoname:2193733,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,Parsva Ekadashi,Shravanopavasa,SHRAVANOPAVASA,2026-09-22,2026-09-23,2026-09-24,06:08 AM,08:34 AM,POST_DWADASHI_FAST_DWADASHI_OVER_BEFORE_SUNRISE,POST_DWADASHI_UPAVASA,10:30 AM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:08 AM to 08:34 AM",A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. **Observe Upavaasa today and continue tomorrow.**,"Parsva Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. Observe Upavaasa today and continue tomorrow. Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:08 AM to 08:34 AM"
geoname:1278094,Ayodhya,Uttar Pradesh,India,Asia/Kolkata,1278094,Parsva Ekadashi,Shravanopavasa,SHRAVANOPAVASA,2026-09-22,2026-09-23,2026-09-24,05:50 AM,08:15 AM,POST_DWADASHI_FAST_DWADASHI_OVER_BEFORE_SUNRISE,POST_DWADASHI_UPAVASA,04:00 AM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 05:50 AM to 08:15 AM",A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. **Observe Upavaasa today and continue tomorrow.**,"Parsva Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. Observe Upavaasa today and continue tomorrow. Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 05:50 AM to 08:15 AM"
geoname:4347778,Baltimore,Maryland,United States,America/New_York,4347778,Parsva Ekadashi,Normal Ekadashi,NORMAL,2026-09-22,,2026-09-23,06:55 AM,09:20 AM,PRATAH,DWADASHI,06:30 PM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 | Parana: 23-Sep-26, 06:55 AM to 09:20 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya.,"Parsva Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya. Upavaasa: 22-Sep-26 | Parana: 23-Sep-26, 06:55 AM to 09:20 AM"
geoname:5108728,Belfast,New York,United States,America/New_York,5108728,Parsva Ekadashi,Normal Ekadashi,NORMAL,2026-09-22,,2026-09-23,07:01 AM,09:26 AM,PRATAH,DWADASHI,06:30 PM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 | Parana: 23-Sep-26, 07:01 AM to 09:26 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya.,"Parsva Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya. Upavaasa: 22-Sep-26 | Parana: 23-Sep-26, 07:01 AM to 09:26 AM"
geoname:1276533,Belgaum,Karnataka,India,Asia/Kolkata,1276533,Parsva Ekadashi,Shravanopavasa,SHRAVANOPAVASA,2026-09-22,2026-09-23,2026-09-24,06:21 AM,08:46 AM,POST_DWADASHI_FAST_DWADASHI_OVER_BEFORE_SUNRISE,POST_DWADASHI_UPAVASA,04:00 AM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:21 AM to 08:46 AM",A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. **Observe Upavaasa today and continue tomorrow.**,"Parsva Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. Observe Upavaasa today and continue tomorrow. Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:21 AM to 08:46 AM"
geoname:1277333,Bengaluru,Karnataka,India,Asia/Kolkata,1277333,Parsva Ekadashi,Shravanopavasa,SHRAVANOPAVASA,2026-09-22,2026-09-23,2026-09-24,06:09 AM,08:34 AM,POST_DWADASHI_FAST_DWADASHI_OVER_BEFORE_SUNRISE,POST_DWADASHI_UPAVASA,04:00 AM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:09 AM to 08:34 AM",A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. **Observe Upavaasa today and continue tomorrow.**,"Parsva Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. Observe Upavaasa today and continue tomorrow. Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:09 AM to 08:34 AM"
geoname:1275841,Bhopal,Madhya Pradesh,India,Asia/Kolkata,1275841,Parsva Ekadashi,Shravanopavasa,SHRAVANOPAVASA,2026-09-22,2026-09-23,2026-09-24,06:10 AM,08:35 AM,POST_DWADASHI_FAST_DWADASHI_OVER_BEFORE_SUNRISE,POST_DWADASHI_UPAVASA,04:00 AM,2026-09-22,COMPLETE,2026-09-22,UPAVASA_DAY_1,Parsva Ekadashi,"Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:10 AM to 08:35 AM",A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. **Observe Upavaasa today and continue tomorrow.**,"Parsva Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi with Shravana Nakshatra at sunrise. Observe Upavaasa today and continue tomorrow. Upavaasa: 22-Sep-26 and 23-Sep-26 | Parana: 24-Sep-26, 06:10 AM to 08:35 AM"
