Month,Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Displayed Date,Displayed Day,Displayed Weekday,Observed Festival,Normalized Festival,Matched Pattern,Canonical Festival,Engine,Discovery Enabled,Execution Enabled,Display Priority,Registry Notes,Drik URL,Event Detail URL,Event Link Status,Discovery Schema Version
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-02,02,Wednesday,Hala Shashthi,hala shashthi,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-03,03,Thursday,Janmashtami *Smarta,janmashtami smarta,Janmashtami,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,Yes,Yes,10,Naming variant for Krishna Janmashtami.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-04,04,Friday,Janmashtami *ISKCON,janmashtami iskcon,Janmashtami,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,Yes,Yes,10,Naming variant for Krishna Janmashtami.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-04,04,Friday,Dahi Handi,dahi handi,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-07,07,Monday,Bachha Baras Dwadashi,bachha baras dwadashi,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-07,07,Monday,Aja Ekadashi,aja ekadashi,Ekadashi,Ekadashi,EKADASHI,Yes,Yes,20,Matches all named Ekadashis; independent Ekadashi engine determines actual observance.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-08,08,Tuesday,Bhauma Pradosh Vrat,bhauma pradosh vrat,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-10,10,Thursday,Pithori Amavasya,pithori amavasya,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-10,10,Thursday,Darsha Amavasya,darsha amavasya,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-10,10,Thursday,Anvadhan,anvadhan,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-10,10,Thursday,Bhadrapada Amavasya,bhadrapada amavasya,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-11,11,Friday,Ishti,ishti,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
2026-09,geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,2026-09-12,12,Saturday,Chandra Darshana,chandra darshana,,,,No,No,,,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=15/09/2026,,,
