Festival Date,Upavaasa Date,City,State/Region,Country,Timezone,Geoname ID,Festival,Sunsign,Amanta Maasa,Paksha,Vaara,Ashtami Start,Ashtami End,Rohini Start,Rohini End,Ashtami-Rohini Overlap Start,Ashtami-Rohini Overlap End,Candidate Sunset,Next Sunrise,Calculated Nishita Madhya,Calculated Puja Start,Calculated Puja End,Qualifying Nishita Count In Joint Overlap,Qualifying Nishita Sequence,Nishita Selection Note,Saptami Viddha Ashtami,No-Overlap Case,No-Overlap Rule,Decision Rule,Budhavara,Needs Review,Review Reason,Final Message
2026-09-03,2026-09-03,Chicago,Illinois,United States,America/Chicago,4887398,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 03:55:00 PM,2026-09-04 01:43:00 PM,2026-09-03 01:59:00 PM,2026-09-04 12:34:00 PM,2026-09-03 03:55:00 PM,2026-09-04 12:34:00 PM,2026-09-03 07:21:00 PM,2026-09-04 06:20:00 AM,2026-09-04 12:50:30 AM,2026-09-04 12:26:30 AM,2026-09-04 01:14:30 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:50 AM, Sep 04 | Nishita Puja Time - 12:26 AM to 1:14 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Nashville,Tennessee,United States,America/Chicago,4644585,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 03:55:00 PM,2026-09-04 01:43:00 PM,2026-09-03 01:59:00 PM,2026-09-04 12:34:00 PM,2026-09-03 03:55:00 PM,2026-09-04 12:34:00 PM,2026-09-03 07:12:00 PM,2026-09-04 06:21:00 AM,2026-09-04 12:46:30 AM,2026-09-04 12:22:30 AM,2026-09-04 01:10:30 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:46 AM, Sep 04 | Nishita Puja Time - 12:22 AM to 1:10 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Dallas,Texas,United States,America/Chicago,4684888,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 03:55:00 PM,2026-09-04 01:43:00 PM,2026-09-03 01:59:00 PM,2026-09-04 12:34:00 PM,2026-09-03 03:55:00 PM,2026-09-04 12:34:00 PM,2026-09-03 07:49:00 PM,2026-09-04 07:04:00 AM,2026-09-04 01:26:30 AM,2026-09-04 01:02:30 AM,2026-09-04 01:50:30 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:26 AM, Sep 04 | Nishita Puja Time - 1:02 AM to 1:50 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Houston,Texas,United States,America/Chicago,4699066,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 03:55:00 PM,2026-09-04 01:43:00 PM,2026-09-03 01:59:00 PM,2026-09-04 12:34:00 PM,2026-09-03 03:55:00 PM,2026-09-04 12:34:00 PM,2026-09-03 07:41:00 PM,2026-09-04 07:00:00 AM,2026-09-04 01:20:30 AM,2026-09-04 12:56:30 AM,2026-09-04 01:44:30 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:20 AM, Sep 04 | Nishita Puja Time - 12:56 AM to 1:44 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Columbus,Indiana,United States,America/Indiana/Indianapolis,4256038,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 08:11:00 PM,2026-09-04 07:15:00 AM,2026-09-04 01:43:00 AM,2026-09-04 01:19:00 AM,2026-09-04 02:07:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:43 AM, Sep 04 | Nishita Puja Time - 1:19 AM to 2:07 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Lafayette,Indiana,United States,America/Indiana/Indianapolis,4922462,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 08:16:00 PM,2026-09-04 07:18:00 AM,2026-09-04 01:47:00 AM,2026-09-04 01:23:00 AM,2026-09-04 02:11:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:47 AM, Sep 04 | Nishita Puja Time - 1:23 AM to 2:11 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 01:55:00 PM,2026-09-04 11:43:00 AM,2026-09-03 11:59:00 AM,2026-09-04 10:34:00 AM,2026-09-03 01:55:00 PM,2026-09-04 10:34:00 AM,2026-09-03 07:51:00 PM,2026-09-04 06:33:00 AM,2026-09-04 01:12:00 AM,2026-09-04 12:48:00 AM,2026-09-04 01:36:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:12 AM, Sep 04 | Nishita Puja Time - 12:48 AM to 1:36 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Los Angeles,California,United States,America/Los_Angeles,5368361,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 01:55:00 PM,2026-09-04 11:43:00 AM,2026-09-03 11:59:00 AM,2026-09-04 10:34:00 AM,2026-09-03 01:55:00 PM,2026-09-04 10:34:00 AM,2026-09-03 07:16:00 PM,2026-09-04 06:29:00 AM,2026-09-04 12:52:30 AM,2026-09-04 12:28:30 AM,2026-09-04 01:16:30 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:52 AM, Sep 04 | Nishita Puja Time - 12:28 AM to 1:16 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Placentia,California,United States,America/Los_Angeles,5383527,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 01:55:00 PM,2026-09-04 11:43:00 AM,2026-09-03 11:59:00 AM,2026-09-04 10:34:00 AM,2026-09-03 01:55:00 PM,2026-09-04 10:34:00 AM,2026-09-03 07:14:00 PM,2026-09-04 06:28:00 AM,2026-09-04 12:51:00 AM,2026-09-04 12:27:00 AM,2026-09-04 01:15:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:51 AM, Sep 04 | Nishita Puja Time - 12:27 AM to 1:15 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,San Francisco,California,United States,America/Los_Angeles,5391959,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 01:55:00 PM,2026-09-04 11:43:00 AM,2026-09-03 11:59:00 AM,2026-09-04 10:34:00 AM,2026-09-03 01:55:00 PM,2026-09-04 10:34:00 AM,2026-09-03 07:36:00 PM,2026-09-04 06:43:00 AM,2026-09-04 01:09:30 AM,2026-09-04 12:45:30 AM,2026-09-04 01:33:30 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:09 AM, Sep 04 | Nishita Puja Time - 12:45 AM to 1:33 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
