Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
,,Chicago,Illinois,United States,America/Chicago,4887398,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:26:30 AM to 2026-09-04 01:14:30 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:50 AM, Sep 04 | Nishita Puja Time - 12:26 AM to 1:14 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Nashville,Tennessee,United States,America/Chicago,4644585,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:22:30 AM to 2026-09-04 01:10:30 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:46 AM, Sep 04 | Nishita Puja Time - 12:22 AM to 1:10 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Dallas,Texas,United States,America/Chicago,4684888,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 01:02:30 AM to 2026-09-04 01:50:30 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:26 AM, Sep 04 | Nishita Puja Time - 1:02 AM to 1:50 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Houston,Texas,United States,America/Chicago,4699066,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:56:30 AM to 2026-09-04 01:44:30 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:20 AM, Sep 04 | Nishita Puja Time - 12:56 AM to 1:44 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Columbus,Indiana,United States,America/Indiana/Indianapolis,4256038,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 01:19:00 AM to 2026-09-04 02:07:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:43 AM, Sep 04 | Nishita Puja Time - 1:19 AM to 2:07 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Lafayette,Indiana,United States,America/Indiana/Indianapolis,4922462,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 01:23:00 AM to 2026-09-04 02:11:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:47 AM, Sep 04 | Nishita Puja Time - 1:23 AM to 2:11 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:48:00 AM to 2026-09-04 01:36:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:12 AM, Sep 04 | Nishita Puja Time - 12:48 AM to 1:36 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Los Angeles,California,United States,America/Los_Angeles,5368361,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:28:30 AM to 2026-09-04 01:16:30 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:52 AM, Sep 04 | Nishita Puja Time - 12:28 AM to 1:16 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Placentia,California,United States,America/Los_Angeles,5383527,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:27:00 AM to 2026-09-04 01:15:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:51 AM, Sep 04 | Nishita Puja Time - 12:27 AM to 1:15 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,San Francisco,California,United States,America/Los_Angeles,5391959,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:45:30 AM to 2026-09-04 01:33:30 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:09 AM, Sep 04 | Nishita Puja Time - 12:45 AM to 1:33 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
