Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 04:28 AM | Kanya Sankranti Punya Kala - 07:04 AM to 01:19 PM | Kanya Sankranti Maha Punya Kala - 07:04 AM to 09:09 AM,,Kanya Sankranti. Kanya Sankranti Moment - 04:28 AM | Kanya Sankranti Punya Kala - 07:04 AM to 01:19 PM | Kanya Sankranti Maha Punya Kala - 07:04 AM to 09:09 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:285787,geoname:285787|city:kuwait,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 05:28 AM | Kanya Sankranti Punya Kala - 05:34 AM to 11:42 AM | Kanya Sankranti Maha Punya Kala - 05:34 AM to 07:37 AM,,Kanya Sankranti. Kanya Sankranti Moment - 05:28 AM | Kanya Sankranti Punya Kala - 05:34 AM to 11:42 AM | Kanya Sankranti Maha Punya Kala - 05:34 AM to 07:37 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1273865,geoname:1273865|city:coimbatore,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:6182962,geoname:6182962|city:windsor,Windsor,Ontario,Canada,America/New_York,6182962,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-16,COMPLETE,2026-09-16,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 10:28 PM | Kanya Sankranti Punya Kala - 01:27 PM to 07:40 PM | Kanya Sankranti Maha Punya Kala - 05:35 PM to 07:40 PM,,Kanya Sankranti. Kanya Sankranti Moment - 10:28 PM | Kanya Sankranti Punya Kala - 01:27 PM to 07:40 PM | Kanya Sankranti Maha Punya Kala - 05:35 PM to 07:40 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:2643743,geoname:2643743|city:london,London,London,United Kingdom,Europe/London,2643743,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 03:28 AM | Kanya Sankranti Punya Kala - 06:38 AM to 12:55 PM | Kanya Sankranti Maha Punya Kala - 06:38 AM to 08:44 AM,,Kanya Sankranti. Kanya Sankranti Moment - 03:28 AM | Kanya Sankranti Punya Kala - 06:38 AM to 12:55 PM | Kanya Sankranti Maha Punya Kala - 06:38 AM to 08:44 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1276533,geoname:1276533|city:belgaum,Belgaum,Karnataka,India,Asia/Kolkata,1276533,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:28 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:28 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1269920,geoname:1269920|city:hubli,Hubli,Karnataka,India,Asia/Kolkata,1269920,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:28 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:28 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:6173331,geoname:6173331|city:vancouver,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-16,COMPLETE,2026-09-16,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:28 PM | Kanya Sankranti Punya Kala - 01:07 PM to 07:23 PM | Kanya Sankranti Maha Punya Kala - 05:18 PM to 07:23 PM,,Kanya Sankranti. Kanya Sankranti Moment - 07:28 PM | Kanya Sankranti Punya Kala - 01:07 PM to 07:23 PM | Kanya Sankranti Maha Punya Kala - 05:18 PM to 07:23 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:5108728,geoname:5108728|city:belfast,Belfast,New York,United States,America/New_York,5108728,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-16,COMPLETE,2026-09-16,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 10:28 PM | Kanya Sankranti Punya Kala - 01:07 PM to 07:20 PM | Kanya Sankranti Maha Punya Kala - 05:16 PM to 07:20 PM,,Kanya Sankranti. Kanya Sankranti Moment - 10:28 PM | Kanya Sankranti Punya Kala - 01:07 PM to 07:20 PM | Kanya Sankranti Maha Punya Kala - 05:16 PM to 07:20 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1835848,geoname:1835848|city:seoul,Seoul,Seoul,South Korea,Asia/Seoul,1835848,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 11:28 AM | Kanya Sankranti Punya Kala - 11:28 AM to 06:04 PM | Kanya Sankranti Maha Punya Kala - 11:28 AM to 01:32 PM,,Kanya Sankranti. Kanya Sankranti Moment - 11:28 AM | Kanya Sankranti Punya Kala - 11:28 AM to 06:04 PM | Kanya Sankranti Maha Punya Kala - 11:28 AM to 01:32 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
