Month,Job ID,Event Key,Representative Festival,Canonical Festival,Engine,Execution Enabled,Date Strategy,Cities Discovered,Expected Cities,Discovery Coverage,Min Displayed Date,Max Displayed Date,Displayed Date Spread Days,Suggested Anchor,Max Distance From Anchor,Job Status,Recommended Command,Notes
2026-09,2026-09_ananta_chaturdashi_ananta_chaturdashi,ananta_chaturdashi,Anant Chaturdashi,Ananta Chaturdashi,ANANTA_CHATURDASHI,Yes,UNKNOWN,1,1,1/1,2026-09-25,2026-09-25,0,,,DATE_STRATEGY_NOT_DEFINED,,Date strategy is not defined for this engine.
2026-09,2026-09_ekadashi_aja_ekadashi,aja_ekadashi,Aja Ekadashi,Ekadashi,EKADASHI,Yes,ANCHOR_SEARCH,1,1,1/1,2026-09-07,2026-09-07,0,2026-09-07,0,READY,"python ""festival_engines\ekadashi_cycle_scanner.py"" --cycle ""Aja Ekadashi"" --anchor 2026-09-07 --cities ""Darmstadt""",Month-Panchang dates are used only to locate the candidate cycle; the festival engine independently determines the final observance.
2026-09,2026-09_ekadashi_parsva_ekadashi,parsva_ekadashi,Parsva Ekadashi,Ekadashi,EKADASHI,Yes,ANCHOR_SEARCH,1,1,1/1,2026-09-22,2026-09-22,0,2026-09-22,0,READY,"python ""festival_engines\ekadashi_cycle_scanner.py"" --cycle ""Parsva Ekadashi"" --anchor 2026-09-22 --cities ""Darmstadt""",Month-Panchang dates are used only to locate the candidate cycle; the festival engine independently determines the final observance.
2026-09,2026-09_ganesha_chaturthi_ganesha_chaturthi,ganesha_chaturthi,Ganesh Chaturthi,Ganesha Chaturthi,GANESHA_CHATURTHI,Yes,UNKNOWN,1,1,1/1,2026-09-14,2026-09-14,0,,,DATE_STRATEGY_NOT_DEFINED,,Date strategy is not defined for this engine.
2026-09,2026-09_krishna_jayanthi_sri_krishna_jayanthi,sri_krishna_jayanthi,Janmashtami *Smarta,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,Yes,ANCHOR_SEARCH,1,1,1/1,2026-09-03,2026-09-04,1,2026-09-03,1,READY,"python ""festival_engines\krishna_jayanthi_engine.py"" --month 2026-09 --anchor 2026-09-03 --window-days 2 --cities ""Darmstadt""",Month-Panchang dates are used only to locate the candidate cycle; the festival engine independently determines the final observance.
2026-09,2026-09_pitrupaksha_begins_pitrupaksha_begins,pitrupaksha_begins,Pitrupaksha Begins,Pitrupaksha Begins,PITRUPAKSHA_BEGINS,Yes,UNKNOWN,1,1,1/1,2026-09-27,2026-09-27,0,,,DATE_STRATEGY_NOT_DEFINED,,Date strategy is not defined for this engine.
2026-09,2026-09_rishi_panchami_rishi_panchami,rishi_panchami,Rishi Panchami,Rishi Panchami,RISHI_PANCHAMI,Yes,UNKNOWN,1,1,1/1,2026-09-15,2026-09-15,0,,,DATE_STRATEGY_NOT_DEFINED,,Date strategy is not defined for this engine.
2026-09,2026-09_sankramana_sankramana,sankramana,Kanya Sankranti,Sankramana,SANKRAMANA,Yes,CITY_SPECIFIC_EXACT_DATE,1,1,1/1,2026-09-17,2026-09-17,0,,,READY,"python ""festival_engines\sankramana_engine.py"" --month 2026-09 --canonical ""Sankramana"" --cities ""Darmstadt""",Uses each city's exact Displayed Date from the monthly discovery CSV; no global anchor is used.
2026-09,2026-09_vamana_jayanthi_vamana_jayanthi,vamana_jayanthi,Vamana Jayanti,Vamana Jayanthi,VAMANA_JAYANTHI,Yes,UNKNOWN,1,1,1/1,2026-09-22,2026-09-22,0,,,DATE_STRATEGY_NOT_DEFINED,,Date strategy is not defined for this engine.
2026-09,2026-09_varaha_jayanthi_varaha_jayanthi,varaha_jayanthi,Varaha Jayanti,Varaha Jayanthi,VARAHA_JAYANTHI,Yes,UNKNOWN,1,1,1/1,2026-09-13,2026-09-13,0,,,DATE_STRATEGY_NOT_DEFINED,,Date strategy is not defined for this engine.
