Place Key,City,State/Region,Country,Timezone,Geoname ID,Ekadashi Name,Ekadashi Type,Condition Code,Upavaasa Date 1,Upavaasa Date 2,Parana Date,Parana Start,Parana End,Parana Branch,Parana Tithi Rule,Hari Vasara End,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message
geoname:1279290,Agartala,Tripura,India,Asia/Kolkata,1279290,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,06:15 AM,07:40 AM,PRATAH,DWADASHI,06:15 AM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 07:40 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 07:40 AM"
geoname:1279186,Aizawl,Mizoram,India,Asia/Kolkata,1279186,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,06:15 AM,07:35 AM,PRATAH,DWADASHI,06:15 AM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 07:35 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 07:35 AM"
geoname:4180439,Atlanta,Georgia,United States,America/New_York,4180439,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,07:36 AM,09:56 AM,PRATAH,DWADASHI,08:45 PM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 07:36 AM to 09:56 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 07:36 AM to 09:56 AM"
geoname:1278094,Ayodhya,Uttar Pradesh,India,Asia/Kolkata,1278094,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,06:15 AM,08:17 AM,PRATAH,DWADASHI,06:15 AM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 08:17 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 08:17 AM"
geoname:4347778,Baltimore,Maryland,United States,America/New_York,4347778,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,07:08 AM,09:26 AM,PRATAH,DWADASHI,08:45 PM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 07:08 AM to 09:26 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 07:08 AM to 09:26 AM"
geoname:5108728,Belfast,New York,United States,America/New_York,5108728,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,07:16 AM,09:33 AM,PRATAH,DWADASHI,08:45 PM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 07:16 AM to 09:33 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 07:16 AM to 09:33 AM"
geoname:1276533,Belgaum,Karnataka,India,Asia/Kolkata,1276533,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,06:23 AM,08:46 AM,PRATAH,DWADASHI,06:15 AM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:23 AM to 08:46 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:23 AM to 08:46 AM"
geoname:1277333,Bengaluru,Karnataka,India,Asia/Kolkata,1277333,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,06:15 AM,08:32 AM,PRATAH,DWADASHI,06:15 AM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 08:32 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 08:32 AM"
geoname:1275841,Bhopal,Madhya Pradesh,India,Asia/Kolkata,1275841,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,06:15 AM,08:36 AM,PRATAH,DWADASHI,06:15 AM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 08:36 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 08:36 AM"
geoname:1275817,Bhubaneswar,Odisha,India,Asia/Kolkata,1275817,Indira Ekadashi,Normal Ekadashi,NORMAL,2026-10-06,,2026-10-07,06:15 AM,08:01 AM,PRATAH,DWADASHI,06:15 AM,2026-10-06,COMPLETE,2026-10-06,UPAVASA_DAY_1,Indira Ekadashi,"Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 08:01 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Indira Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 06-Oct-26 | Parana: 07-Oct-26, 06:15 AM to 08:01 AM"
