Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:2938913,geoname:2938913|city:darmstadt,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 04:27 PM | Tula Sankranti Punya Kala - 12:54 PM to 06:31 PM | Tula Sankranti Maha Punya Kala - 02:40 PM to 06:14 PM,,Tula Sankranti. Tula Sankranti Moment - 04:27 PM | Tula Sankranti Punya Kala - 12:54 PM to 06:31 PM | Tula Sankranti Maha Punya Kala - 02:40 PM to 06:14 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:285787,geoname:285787|city:kuwait,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 05:27 PM | Tula Sankranti Punya Kala - 11:33 AM to 05:16 PM | Tula Sankranti Maha Punya Kala - 03:22 PM to 05:16 PM,,Tula Sankranti. Tula Sankranti Moment - 05:27 PM | Tula Sankranti Punya Kala - 11:33 AM to 05:16 PM | Tula Sankranti Maha Punya Kala - 03:22 PM to 05:16 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1273865,geoname:1273865|city:coimbatore,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 12:07 PM to 06:03 PM | Tula Sankranti Maha Punya Kala - 04:05 PM to 06:03 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 12:07 PM to 06:03 PM | Tula Sankranti Maha Punya Kala - 04:05 PM to 06:03 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:6182962,geoname:6182962|city:windsor,Windsor,Ontario,Canada,America/New_York,6182962,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 10:27 AM | Tula Sankranti Punya Kala - 07:47 AM to 02:07 PM | Tula Sankranti Maha Punya Kala - 08:37 AM to 12:17 PM,,Tula Sankranti. Tula Sankranti Moment - 10:27 AM | Tula Sankranti Punya Kala - 07:47 AM to 02:07 PM | Tula Sankranti Maha Punya Kala - 08:37 AM to 12:17 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:2643743,geoname:2643743|city:london,London,London,United Kingdom,Europe/London,2643743,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 03:27 PM | Tula Sankranti Punya Kala - 11:55 AM to 06:03 PM | Tula Sankranti Maha Punya Kala - 01:41 PM to 05:13 PM,,Tula Sankranti. Tula Sankranti Moment - 03:27 PM | Tula Sankranti Punya Kala - 11:55 AM to 06:03 PM | Tula Sankranti Maha Punya Kala - 01:41 PM to 05:13 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1276533,geoname:1276533|city:belgaum,Belgaum,Karnataka,India,Asia/Kolkata,1276533,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 12:17 PM to 06:10 PM | Tula Sankranti Maha Punya Kala - 04:12 PM to 06:10 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 12:17 PM to 06:10 PM | Tula Sankranti Maha Punya Kala - 04:12 PM to 06:10 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1269920,geoname:1269920|city:hubli,Hubli,Karnataka,India,Asia/Kolkata,1269920,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 12:15 PM to 06:08 PM | Tula Sankranti Maha Punya Kala - 04:10 PM to 06:08 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 12:15 PM to 06:08 PM | Tula Sankranti Maha Punya Kala - 04:10 PM to 06:08 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:6173331,geoname:6173331|city:vancouver,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:27 AM | Tula Sankranti Punya Kala - 07:37 AM to 12:57 PM | Tula Sankranti Maha Punya Kala - 07:37 AM to 09:24 AM,,Tula Sankranti. Tula Sankranti Moment - 07:27 AM | Tula Sankranti Punya Kala - 07:37 AM to 12:57 PM | Tula Sankranti Maha Punya Kala - 07:37 AM to 09:24 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:5108728,geoname:5108728|city:belfast,Belfast,New York,United States,America/New_York,5108728,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 10:27 AM | Tula Sankranti Punya Kala - 07:27 AM to 02:07 PM | Tula Sankranti Maha Punya Kala - 08:37 AM to 12:17 PM,,Tula Sankranti. Tula Sankranti Moment - 10:27 AM | Tula Sankranti Punya Kala - 07:27 AM to 02:07 PM | Tula Sankranti Maha Punya Kala - 08:37 AM to 12:17 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1835848,geoname:1835848|city:seoul,Seoul,Seoul,South Korea,Asia/Seoul,1835848,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 11:27 PM | Tula Sankranti Punya Kala - 12:17 PM to 05:53 PM | Tula Sankranti Maha Punya Kala - 04:01 PM to 05:53 PM,,Tula Sankranti. Tula Sankranti Moment - 11:27 PM | Tula Sankranti Punya Kala - 12:17 PM to 05:53 PM | Tula Sankranti Maha Punya Kala - 04:01 PM to 05:53 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
