Location Key,Date,Observed Festival,Canonical Festival,Detail URL,Local Visibility,Visibility Reason,Sutak Begins,Sutak Ends,Eclipse Start,Maximum Eclipse,Eclipse End,Extracted Details,Completeness Status,Scan Error
geoname:6182962|city:windsor,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,YES,,"11:08 PM, Aug 11",02:07 PM,01:03 PM,01:35 PM,02:07 PM,"Sutak Begins - 11:08 PM, Aug 11 | Sutak Ends - 02:07 PM | Eclipse Start - 01:03 PM | Eclipse End - 02:07 PM",COMPLETE,
geoname:2643743|city:london,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,YES,,03:24 AM,08:06 PM,06:17 PM,07:13 PM,08:06 PM,Sutak Begins - 03:24 AM | Sutak Ends - 08:06 PM | Eclipse Start - 06:17 PM | Eclipse End - 08:06 PM,COMPLETE,
geoname:1276533|city:belgaum,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,NO,Eclipse would not be visible in Belgaum,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:1269920|city:hubli,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,NO,Eclipse would not be visible in Hubli,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:6173331|city:vancouver,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,NO,Eclipse would not be visible in Vancouver,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:5108728|city:belfast,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,YES,,"10:48 PM, Aug 11",02:26 PM,01:01 PM,01:44 PM,02:26 PM,"Sutak Begins - 10:48 PM, Aug 11 | Sutak Ends - 02:26 PM | Eclipse Start - 01:01 PM | Eclipse End - 02:26 PM",COMPLETE,
geoname:1835848|city:seoul,2026-08-13,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=13/08/2026,NO,Eclipse would not be visible in Seoul,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:2193733|city:auckland,2026-08-13,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=13/08/2026,NO,Eclipse would not be visible in Auckland,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:2179537|city:wellington,2026-08-13,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=13/08/2026,NO,Eclipse would not be visible in Wellington,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:2192362|city:christchurch,2026-08-13,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=13/08/2026,NO,Eclipse would not be visible in Christchurch,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:1279290|city:agartala,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,NO,Eclipse would not be visible in Agartala,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:1271476|city:guwahati,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,NO,Eclipse would not be visible in Guwahati,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
geoname:1256525|city:shiliguri,2026-08-12,Surya Grahan *Purna,Surya Grahana,https://www.drikpanchang.com/eclipse/solar-eclipse-date-time-duration.html?date=12/08/2026,NO,Eclipse would not be visible in Shiliguri,Not Applicable,Not Applicable,,,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
