Key,Date,City,State/Region,Country,Timezone,Geoname ID,Selected Drik Location,Sunrise,Sunset,Tithi,Nakshatra,Paksha,Vaara,Amanta Maasa,Sunsign,Scan Error
GEONAME::285787,2026-09-01,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kuwait City,05:25 AM,06:10 PM,"Panchami upto 03:42 AM, Sep 02","Ashwini upto 12:12 AM, Sep 02",Krishna Paksha,Mangalawara,Shravana,Simha,
GEONAME::285787,2026-09-02,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kuwait City,05:26 AM,06:09 PM,"Shashthi upto 01:56 AM, Sep 03",Bharani upto 11:13 PM,Krishna Paksha,Budhawara,Shravana,Simha,
GEONAME::285787,2026-09-03,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kuwait City,05:26 AM,06:08 PM,Saptami upto 11:55 PM,Krittika upto 09:59 PM,Krishna Paksha,Guruwara,Shravana,Simha,
GEONAME::285787,2026-09-04,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kuwait City,05:27 AM,06:07 PM,Ashtami upto 09:43 PM,Rohini upto 08:34 PM,Krishna Paksha,Shukrawara,Shravana,Simha,
GEONAME::285787,2026-09-05,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kuwait City,05:28 AM,06:06 PM,Navami upto 07:23 PM,Mrigashira upto 07:00 PM,Krishna Paksha,Shaniwara,Shravana,Simha,
GEONAME::285787,2026-09-06,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kuwait City,05:28 AM,06:04 PM,Dashami upto 04:59 PM,Ardra upto 05:22 PM,Krishna Paksha,Raviwara,Shravana,Simha,
GEONAME::285787,2026-09-07,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kuwait City,05:29 AM,06:03 PM,Ekadashi upto 02:33 PM,Punarvasu upto 03:44 PM,Krishna Paksha,Somawara,Shravana,Simha,
GEONAME::1273865,2026-09-01,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Coimbatore,06:12 AM,06:32 PM,"Chaturthi upto 07:41 AM; Panchami upto 06:12 AM, Sep 02","Ashwini upto 02:42 AM, Sep 02",Krishna Paksha,Mangalawara,Shravana,Simha,
GEONAME::1273865,2026-09-02,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Coimbatore,06:12 AM,06:31 PM,"Shashthi upto 04:25 AM, Sep 03","Bharani upto 01:43 AM, Sep 03",Krishna Paksha,Budhawara,Shravana,Simha,
GEONAME::1273865,2026-09-03,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Coimbatore,06:12 AM,06:31 PM,"Saptami upto 02:25 AM, Sep 04","Krittika upto 12:29 AM, Sep 04",Krishna Paksha,Guruwara,Shravana,Simha,
GEONAME::1273865,2026-09-04,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Coimbatore,06:12 AM,06:30 PM,"Ashtami upto 12:13 AM, Sep 05",Rohini upto 11:04 PM,Krishna Paksha,Shukrawara,Shravana,Simha,
GEONAME::1273865,2026-09-05,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Coimbatore,06:12 AM,06:29 PM,Navami upto 09:53 PM,Mrigashira upto 09:30 PM,Krishna Paksha,Shaniwara,Shravana,Simha,
GEONAME::1273865,2026-09-06,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Coimbatore,06:12 AM,06:29 PM,Dashami upto 07:29 PM,Ardra upto 07:52 PM,Krishna Paksha,Raviwara,Shravana,Simha,
GEONAME::1273865,2026-09-07,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Coimbatore,06:12 AM,06:28 PM,Ekadashi upto 05:03 PM,Punarvasu upto 06:14 PM,Krishna Paksha,Somawara,Shravana,Simha,
GEONAME::6182962,2026-09-01,Windsor,Ontario,Canada,America/New_York,6182962,Windsor,06:58 AM,08:06 PM,Panchami upto 08:42 PM,Ashwini upto 05:12 PM,Krishna Paksha,Mangalawara,Shravana,Simha,
GEONAME::6182962,2026-09-02,Windsor,Ontario,Canada,America/New_York,6182962,Windsor,06:59 AM,08:04 PM,Shashthi upto 06:55 PM,Bharani upto 04:13 PM,Krishna Paksha,Budhawara,Shravana,Simha,
GEONAME::6182962,2026-09-03,Windsor,Ontario,Canada,America/New_York,6182962,Windsor,07:00 AM,08:03 PM,Saptami upto 04:55 PM,Krittika upto 02:59 PM,Krishna Paksha,Guruwara,Shravana,Simha,
GEONAME::6182962,2026-09-04,Windsor,Ontario,Canada,America/New_York,6182962,Windsor,07:01 AM,08:01 PM,Ashtami upto 02:43 PM,Rohini upto 01:34 PM,Krishna Paksha,Shukrawara,Shravana,Simha,
GEONAME::6182962,2026-09-05,Windsor,Ontario,Canada,America/New_York,6182962,Windsor,07:02 AM,07:59 PM,Navami upto 12:23 PM,Mrigashira upto 12:00 PM,Krishna Paksha,Shaniwara,Shravana,Simha,
GEONAME::6182962,2026-09-06,Windsor,Ontario,Canada,America/New_York,6182962,Windsor,07:03 AM,07:57 PM,Dashami upto 09:59 AM,Ardra upto 10:22 AM,Krishna Paksha,Raviwara,Shravana,Simha,
GEONAME::6182962,2026-09-07,Windsor,Ontario,Canada,America/New_York,6182962,Windsor,07:04 AM,07:56 PM,"Ekadashi upto 07:33 AM; Dwadashi upto 05:12 AM, Sep 08",Punarvasu upto 08:44 AM,Krishna Paksha,Somawara,Shravana,Simha,
GEONAME::2643743,2026-09-01,London,London,United Kingdom,Europe/London,2643743,London,06:13 AM,07:47 PM,"Panchami upto 01:42 AM, Sep 02",Ashwini upto 10:12 PM,Krishna Paksha,Mangalawara,Shravana,Simha,
GEONAME::2643743,2026-09-02,London,London,United Kingdom,Europe/London,2643743,London,06:15 AM,07:45 PM,Shashthi upto 11:55 PM,Bharani upto 09:13 PM,Krishna Paksha,Budhawara,Shravana,Simha,
GEONAME::2643743,2026-09-03,London,London,United Kingdom,Europe/London,2643743,London,06:16 AM,07:43 PM,Saptami upto 09:55 PM,Krittika upto 07:59 PM,Krishna Paksha,Guruwara,Shravana,Simha,
GEONAME::2643743,2026-09-04,London,London,United Kingdom,Europe/London,2643743,London,06:18 AM,07:40 PM,Ashtami upto 07:43 PM,Rohini upto 06:34 PM,Krishna Paksha,Shukrawara,Shravana,Simha,
GEONAME::2643743,2026-09-05,London,London,United Kingdom,Europe/London,2643743,London,06:19 AM,07:38 PM,Navami upto 05:23 PM,Mrigashira upto 05:00 PM,Krishna Paksha,Shaniwara,Shravana,Simha,
GEONAME::2643743,2026-09-06,London,London,United Kingdom,Europe/London,2643743,London,06:21 AM,07:36 PM,Dashami upto 02:59 PM,Ardra upto 03:22 PM,Krishna Paksha,Raviwara,Shravana,Simha,
GEONAME::2643743,2026-09-07,London,London,United Kingdom,Europe/London,2643743,London,06:23 AM,07:33 PM,Ekadashi upto 12:33 PM,Punarvasu upto 01:44 PM,Krishna Paksha,Somawara,Shravana,Simha,
GEONAME::1276533,2026-09-01,Belgaum,Karnataka,India,Asia/Kolkata,1276533,Belgaum,06:19 AM,06:45 PM,"Chaturthi upto 07:41 AM; Panchami upto 06:12 AM, Sep 02","Ashwini upto 02:42 AM, Sep 02",Krishna Paksha,Mangalawara,Shravana,Simha,
GEONAME::1276533,2026-09-02,Belgaum,Karnataka,India,Asia/Kolkata,1276533,Belgaum,06:19 AM,06:44 PM,"Shashthi upto 04:25 AM, Sep 03","Bharani upto 01:43 AM, Sep 03",Krishna Paksha,Budhawara,Shravana,Simha,
GEONAME::1276533,2026-09-03,Belgaum,Karnataka,India,Asia/Kolkata,1276533,Belgaum,06:19 AM,06:43 PM,"Saptami upto 02:25 AM, Sep 04","Krittika upto 12:29 AM, Sep 04",Krishna Paksha,Guruwara,Shravana,Simha,
