Date,Location Key,Input Order,City,State/Region,Country,Timezone,Geoname ID,Selected Drik Location,Samvatsara,Ayana,Ritu,Amanta Maasa,Paksha,Tithi,Vaara,Nakshatra,Yoga,Karana,Sooryodaya,Month Page URL,Day Page URL,Stored At,Source Run Mode
2026-07-31,geoname:2193733|city:auckland,8,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,Auckland,Parabhava,Dakshinayana,Hemant (Prewinter),Ashadha,Krishna Paksha,"Dwitiya upto 05:01 AM, Aug 01",Shukrawara,"compatibility report; Dhanishtha upto 01:56 AM, Aug 01","Saubhagya upto 06:24 AM, Aug 01","Taitila upto 04:34 PM; Garaja upto 05:01 AM, Aug 01",07:20 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2193733&date=31/07/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-07-31,geoname:2657896|city:zurich,33,Zurich,Zurich,Switzerland,Europe/Zurich,2657896,Zurich,Parabhava,Dakshinayana,Grishma (Summer),Ashadha,Krishna Paksha,Dwitiya upto 07:01 PM,Shukrawara,compatibility report; Dhanishtha upto 03:56 PM,Saubhagya upto 08:24 PM,Taitila upto 06:34 AM; Garaja upto 07:01 PM,06:03 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2657896&date=31/07/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-07-31,geoname:5131614|city:pittsford,36,Pittsford,New York,United States,America/New_York,5131614,Pittsford,Parabhava,Dakshinayana,Grishma (Summer),Ashadha,Krishna Paksha,Dwitiya upto 01:01 PM,Shukrawara,compatibility report; Dhanishtha upto 09:56 AM,Saubhagya upto 02:24 PM,"Garaja upto 01:01 PM; Vanija upto 01:22 AM, Aug 01",06:00 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=5131614&date=31/07/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-07-31,geoname:1277333|city:bengaluru,42,Bengaluru,Karnataka,India,Asia/Kolkata,1277333,Bengaluru,Parabhava,Dakshinayana,Grishma (Summer),Ashadha,Krishna Paksha,Dwitiya upto 10:31 PM,Shukrawara,compatibility report; Dhanishtha upto 07:26 PM,Saubhagya upto 11:54 PM,Taitila upto 10:04 AM; Garaja upto 10:31 PM,06:05 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1277333&date=31/07/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-08-01,geoname:1835848|city:seoul,7,Seoul,Seoul,South Korea,Asia/Seoul,1835848,Seoul,Parabhava,Dakshinayana,Grishma (Summer),Ashadha,Krishna Paksha,"Tritiya upto 02:37 AM, Aug 02",Shaniwara,"Shatabhisha upto 12:15 AM, Aug 02; compatibility report","Shobhana upto 02:53 AM, Aug 02","Vanija upto 02:22 PM; Vishti upto 02:37 AM, Aug 02",05:36 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1835848&date=01/08/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-08-01,geoname:2193733|city:auckland,8,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,Auckland,Parabhava,Dakshinayana,Hemant (Prewinter),Ashadha,Krishna Paksha,"Tritiya upto 05:37 AM, Aug 02",Shaniwara,"Shatabhisha upto 03:15 AM, Aug 02","Shobhana upto 05:53 AM, Aug 02","Vanija upto 05:22 PM; Vishti upto 05:37 AM, Aug 02",07:20 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2193733&date=01/08/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-08-01,geoname:2179537|city:wellington,9,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,Wellington,Parabhava,Dakshinayana,Hemant (Prewinter),Ashadha,Krishna Paksha,"Tritiya upto 05:37 AM, Aug 02",Shaniwara,"Shatabhisha upto 03:15 AM, Aug 02; compatibility report; guide book","Shobhana upto 05:53 AM, Aug 02","Vanija upto 05:22 PM; Vishti upto 05:37 AM, Aug 02",07:29 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2179537&date=01/08/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-08-01,geoname:2192362|city:christchurch,10,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,Christchurch,Parabhava,Dakshinayana,Hemant (Prewinter),Ashadha,Krishna Paksha,"Tritiya upto 05:37 AM, Aug 02",Shaniwara,"guide book; Shatabhisha upto 03:15 AM, Aug 02; compatibility report","Shobhana upto 05:53 AM, Aug 02","Vanija upto 05:22 PM; Vishti upto 05:37 AM, Aug 02",07:43 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2192362&date=01/08/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-08-01,geoname:1279290|city:agartala,11,Agartala,Tripura,India,Asia/Kolkata,1279290,Agartala,Parabhava,Dakshinayana,Grishma (Summer),Ashadha,Krishna Paksha,Tritiya upto 11:07 PM,Shaniwara,Shatabhisha upto 08:45 PM; guide book; compatibility report,Shobhana upto 11:23 PM,Vanija upto 10:52 AM; Vishti upto 11:07 PM,04:54 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1279290&date=01/08/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
2026-08-01,geoname:1271476|city:guwahati,12,Guwahati,Assam,India,Asia/Kolkata,1271476,Guwahati,Parabhava,Dakshinayana,Grishma (Summer),Ashadha,Krishna Paksha,Tritiya upto 11:07 PM,Shaniwara,Shatabhisha upto 08:45 PM; compatibility report; guide book,Shobhana upto 11:23 PM,Vanija upto 10:52 AM; Vishti upto 11:07 PM,04:49 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1271476&date=01/08/2026,,2026-08-20T15:24:13-04:00,BOOTSTRAP_DAILY_TEXT
