Date,Location Key,City,State/Region,Country,Timezone,Geoname ID,Special Events,Special Event Details,Note,Snapshot Source
2026-08-08,geoname:4167147|city:orlando,Orlando,Florida,United States,America/New_York,4167147,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:15:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:52 AM to 09:31 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4174757|city:tampa,Tampa,Florida,United States,America/New_York,4174757,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:20:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:57 AM to 09:36 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4180439|city:atlanta,Atlanta,Georgia,United States,America/New_York,4180439,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:19:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:55 AM to 09:38 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4256038|city:columbus,Columbus,Indiana,United States,America/Indiana/Indianapolis,4256038,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:14:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:51 AM to 09:38 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4347778|city:baltimore,Baltimore,Maryland,United States,America/New_York,4347778,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:37:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:01 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4460243|city:charlotte,Charlotte,North Carolina,United States,America/New_York,4460243,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:02:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:23 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4487042|city:raleigh,Raleigh,North Carolina,United States,America/New_York,4487042,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:52:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:13 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4508722|city:cincinnati,Cincinnati,Ohio,United States,America/New_York,4508722,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:09:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:33 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4509177|city:columbus,Columbus,Ohio,United States,America/New_York,4509177,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:01:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:26 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4560349|city:philadelphia,Philadelphia,Pennsylvania,United States,America/New_York,4560349,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:30:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 08:54 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4634946|city:knoxville,Knoxville,Tennessee,United States,America/New_York,4634946,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:13:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:50 AM to 09:34 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4644585|city:nashville,Nashville,Tennessee,United States,America/Chicago,4644585,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:24:00 AM | Tithi start: 8 August 2026, 03:29:00 AM | Tithi end: 9 August 2026, 12:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:01 AM to 08:45 AM",,2026-08-08_CDT.txt
2026-08-08,geoname:4684888|city:dallas,Dallas,Texas,United States,America/Chicago,4684888,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:10:00 AM | Tithi start: 8 August 2026, 03:29:00 AM | Tithi end: 9 August 2026, 12:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:47 AM to 09:29 AM",,2026-08-08_CDT.txt
2026-08-08,geoname:4699066|city:houston,Houston,Texas,United States,America/Chicago,4699066,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:09:00 AM | Tithi start: 8 August 2026, 03:29:00 AM | Tithi end: 9 August 2026, 12:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:46 AM to 09:26 AM",,2026-08-08_CDT.txt
2026-08-08,geoname:4781708|city:richmond,Richmond,Virginia,United States,America/New_York,4781708,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:44:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:06 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4887398|city:chicago,Chicago,Illinois,United States,America/Chicago,4887398,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:16:00 AM | Tithi start: 8 August 2026, 03:29:00 AM | Tithi end: 9 August 2026, 12:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 05:53 AM to 08:42 AM",,2026-08-08_CDT.txt
2026-08-08,geoname:4922462|city:lafayette,Lafayette,Indiana,United States,America/Indiana/Indianapolis,4922462,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:16:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:53 AM to 09:41 AM",,2026-08-08_EDT.txt
